659	4845	24892	10115
4845	657	10116	24892
24892	10116	991	4336
10115	24892	4336	990
661	4846	24893	10111
4846	659	10115	24893
24893	10115	990	4335
10111	24893	4335	989
663	4847	24897	10104
4847	661	10111	24897
24897	10111	989	4334
10104	24897	4334	988
665	4848	24905	10098
4848	663	10104	24905
24905	10104	988	4333
10098	24905	4333	987
976	6773	26856	6755
6773	990	4336	26856
26856	4336	991	6774
6755	26856	6774	977
975	6772	26857	6753
6772	989	4335	26857
26857	4335	990	6773
6753	26857	6773	976
974	6771	26858	6751
6771	988	4334	26858
26858	4334	989	6772
6751	26858	6772	975
973	6770	26859	6749
6770	987	4333	26859
26859	4333	988	6771
6749	26859	6771	974
962	6754	26870	6728
6754	976	6755	26870
26870	6755	977	6756
6728	26870	6756	963
961	6752	26871	6726
6752	975	6753	26871
26871	6753	976	6754
6726	26871	6754	962
960	6750	26872	6724
6750	974	6751	26872
26872	6751	975	6752
6724	26872	6752	961
959	6748	26873	6722
6748	973	6749	26873
26873	6749	974	6750
6722	26873	6750	960
958	6746	26874	6720
6746	972	6747	26874
26874	6747	973	6748
6720	26874	6748	959
948	6727	26884	6701
6727	962	6728	26884
26884	6728	963	6729
6701	26884	6729	949
947	6725	26885	6699
6725	961	6726	26885
26885	6726	962	6727
6699	26885	6727	948
946	6723	26886	6697
6723	960	6724	26886
26886	6724	961	6725
6697	26886	6725	947
945	6721	26887	6695
6721	959	6722	26887
26887	6722	960	6723
6695	26887	6723	946
944	6719	26888	6693
6719	958	6720	26888
26888	6720	959	6721
6693	26888	6721	945
934	6700	26898	6674
6700	948	6701	26898
26898	6701	949	6702
6674	26898	6702	935
933	6698	26899	6672
6698	947	6699	26899
26899	6699	948	6700
6672	26899	6700	934
932	6696	26900	6670
6696	946	6697	26900
26900	6697	947	6698
6670	26900	6698	933
931	6694	26901	6668
6694	945	6695	26901
26901	6695	946	6696
6668	26901	6696	932
930	6692	26902	6666
6692	944	6693	26902
26902	6693	945	6694
6666	26902	6694	931
666	6246	27134	6270
6246	668	6271	27134
27134	6271	523	6009
6270	27134	6009	521
664	6244	27135	6269
6244	666	6270	27135
27135	6270	521	6006
6269	27135	6006	519
662	6242	27136	6268
6242	664	6269	27136
27136	6269	519	6003
6268	27136	6003	517
660	6240	27137	6267
6240	662	6268	27137
27137	6268	517	6000
6267	27137	6000	515
658	6238	27138	6266
6238	660	6267	27138
27138	6267	515	5997
6266	27138	5997	513
665	4849	27152	6243
4849	667	6245	27152
27152	6245	668	6246
6243	27152	6246	666
663	4848	27153	6241
4848	665	6243	27153
27153	6243	666	6244
6241	27153	6244	664
661	4847	27154	6239
4847	663	6241	27154
27154	6241	664	6242
6239	27154	6242	662
659	4846	27155	6237
4846	661	6239	27155
27155	6239	662	6240
6237	27155	6240	660
657	4845	27156	6235
4845	659	6237	27156
27156	6237	660	6238
6235	27156	6238	658
653	4842	24889	10118
4842	651	10119	24889
24889	10119	994	4339
10118	24889	4339	993
655	4843	24890	10117
4843	653	10118	24890
24890	10118	993	4338
10117	24890	4338	992
657	4844	24891	10116
4844	655	10117	24891
24891	10117	992	4337
10116	24891	4337	991
979	6776	26853	6761
6776	993	4339	26853
26853	4339	994	6777
6761	26853	6777	980
978	6775	26854	6759
6775	992	4338	26854
26854	4338	993	6776
6759	26854	6776	979
977	6774	26855	6757
6774	991	4337	26855
26855	4337	992	6775
6757	26855	6775	978
965	6760	26867	6734
6760	979	6761	26867
26867	6761	980	6762
6734	26867	6762	966
964	6758	26868	6732
6758	978	6759	26868
26868	6759	979	6760
6732	26868	6760	965
963	6756	26869	6730
6756	977	6757	26869
26869	6757	978	6758
6730	26869	6758	964
951	6733	26881	6707
6733	965	6734	26881
26881	6734	966	6735
6707	26881	6735	952
950	6731	26882	6705
6731	964	6732	26882
26882	6732	965	6733
6705	26882	6733	951
949	6729	26883	6703
6729	963	6730	26883
26883	6730	964	6731
6703	26883	6731	950
937	6706	26895	6680
6706	951	6707	26895
26895	6707	952	6708
6680	26895	6708	938
936	6704	26896	6678
6704	950	6705	26896
26896	6705	951	6706
6678	26896	6706	937
935	6702	26897	6676
6702	949	6703	26897
26897	6703	950	6704
6676	26897	6704	936
656	6236	27139	6265
6236	658	6266	27139
27139	6266	513	5994
6265	27139	5994	511
654	6234	27140	6264
6234	656	6265	27140
27140	6265	511	5991
6264	27140	5991	509
652	6232	27141	6263
6232	654	6264	27141
27141	6264	509	5988
6263	27141	5988	507
655	4844	27157	6233
4844	657	6235	27157
27157	6235	658	6236
6233	27157	6236	656
653	4843	27158	6231
4843	655	6233	27158
27158	6233	656	6234
6231	27158	6234	654
651	4842	27159	6229
4842	653	6231	27159
27159	6231	654	6232
6229	27159	6232	652
