659	657	991	990	4845	10116	4336	10115
661	659	990	989	4846	10115	4335	10111
663	661	989	988	4847	10111	4334	10104
665	663	988	987	4848	10104	4333	10098
976	990	991	977	6773	4336	6774	6755
975	989	990	976	6772	4335	6773	6753
974	988	989	975	6771	4334	6772	6751
973	987	988	974	6770	4333	6771	6749
962	976	977	963	6754	6755	6756	6728
961	975	976	962	6752	6753	6754	6726
960	974	975	961	6750	6751	6752	6724
959	973	974	960	6748	6749	6750	6722
958	972	973	959	6746	6747	6748	6720
948	962	963	949	6727	6728	6729	6701
947	961	962	948	6725	6726	6727	6699
946	960	961	947	6723	6724	6725	6697
945	959	960	946	6721	6722	6723	6695
944	958	959	945	6719	6720	6721	6693
934	948	949	935	6700	6701	6702	6674
933	947	948	934	6698	6699	6700	6672
932	946	947	933	6696	6697	6698	6670
931	945	946	932	6694	6695	6696	6668
930	944	945	931	6692	6693	6694	6666
666	668	523	521	6246	6271	6009	6270
664	666	521	519	6244	6270	6006	6269
662	664	519	517	6242	6269	6003	6268
660	662	517	515	6240	6268	6000	6267
658	660	515	513	6238	6267	5997	6266
665	667	668	666	4849	6245	6246	6243
663	665	666	664	4848	6243	6244	6241
661	663	664	662	4847	6241	6242	6239
659	661	662	660	4846	6239	6240	6237
657	659	660	658	4845	6237	6238	6235
653	651	994	993	4842	10119	4339	10118
655	653	993	992	4843	10118	4338	10117
657	655	992	991	4844	10117	4337	10116
979	993	994	980	6776	4339	6777	6761
978	992	993	979	6775	4338	6776	6759
977	991	992	978	6774	4337	6775	6757
965	979	980	966	6760	6761	6762	6734
964	978	979	965	6758	6759	6760	6732
963	977	978	964	6756	6757	6758	6730
951	965	966	952	6733	6734	6735	6707
950	964	965	951	6731	6732	6733	6705
949	963	964	950	6729	6730	6731	6703
937	951	952	938	6706	6707	6708	6680
936	950	951	937	6704	6705	6706	6678
935	949	950	936	6702	6703	6704	6676
656	658	513	511	6236	6266	5994	6265
654	656	511	509	6234	6265	5991	6264
652	654	509	507	6232	6264	5988	6263
655	657	658	656	4844	6235	6236	6233
653	655	656	654	4843	6233	6234	6231
651	653	654	652	4842	6231	6232	6229
