1947	1948	98	46	4791	8380	4762	8372
1935	1949	2102	2104	4789	8374	8377	8378
2102	42	40	2104	8369	5220	8376	8377
2102	1949	1947	2101	8374	4790	8373	8370
1947	46	44	2101	8372	5222	8371	8373
44	42	2102	2101	5221	8369	8370	8371
1193	1191	1949	1935	4744	8143	4789	8128
1191	1189	1947	1949	4743	8142	4790	8143
1189	1187	1948	1947	4742	8141	4791	8142
46	98	99	47	4762	5346	5347	4769
44	46	47	45	5222	4769	5269	5267
42	44	45	43	5221	5267	5268	5265
40	42	43	41	5220	5265	5266	5263
1941	1953	126	119	4795	8405	4766	8400
1940	1941	119	112	4794	8400	4765	8386
1942	1940	112	105	4793	8386	4764	8384
1948	1942	105	98	4792	8384	4763	8380
1953	1941	1929	1928	4795	8135	8120	8147
1187	1185	1942	1948	4741	8136	4792	8141
1185	1183	1940	1942	4740	8134	4793	8136
1940	1183	1929	1941	8134	8121	8135	4794
1181	1928	1929	1183	8119	8120	8121	4739
1185	1187	1188	1186	4741	7101	7102	7099
1183	1185	1186	1184	4740	7099	7100	7097
1181	1183	1184	1182	4739	7097	7098	7095
1178	1181	1182	1180	4738	7095	7096	7093
120	127	128	121	5391	5392	5393	5381
119	126	127	120	4766	5390	5391	5379
113	120	121	114	5380	5381	5382	5370
112	119	120	113	4765	5379	5380	5368
106	113	114	107	5369	5370	5371	5359
105	112	113	106	4764	5368	5369	5357
99	106	107	100	5358	5359	5360	5348
98	105	106	99	4763	5357	5358	5346
