1947	4791	25881	8372
4791	1948	8380	25881
25881	8380	98	4762
8372	25881	4762	46
1935	4789	25883	8378
4789	1949	8374	25883
25883	8374	2102	8377
8378	25883	8377	2104
2102	8369	25884	8377
8369	42	5220	25884
25884	5220	40	8376
8377	25884	8376	2104
2102	8374	25886	8370
8374	1949	4790	25886
25886	4790	1947	8373
8370	25886	8373	2101
1947	8372	25887	8373
8372	46	5222	25887
25887	5222	44	8371
8373	25887	8371	2101
44	5221	25888	8371
5221	42	8369	25888
25888	8369	2102	8370
8371	25888	8370	2101
1193	4744	26015	8128
4744	1191	8143	26015
26015	8143	1949	4789
8128	26015	4789	1935
1191	4743	26022	8143
4743	1189	8142	26022
26022	8142	1947	4790
8143	26022	4790	1949
1189	4742	26023	8142
4742	1187	8141	26023
26023	8141	1948	4791
8142	26023	4791	1947
46	4762	27634	4769
4762	98	5346	27634
27634	5346	99	5347
4769	27634	5347	47
44	5222	27680	5267
5222	46	4769	27680
27680	4769	47	5269
5267	27680	5269	45
42	5221	27681	5265
5221	44	5267	27681
27681	5267	45	5268
5265	27681	5268	43
40	5220	27682	5263
5220	42	5265	27682
27682	5265	43	5266
5263	27682	5266	41
1941	4795	25859	8400
4795	1953	8405	25859
25859	8405	126	4766
8400	25859	4766	119
1940	4794	25866	8386
4794	1941	8400	25866
25866	8400	119	4765
8386	25866	4765	112
1942	4793	25876	8384
4793	1940	8386	25876
25876	8386	112	4764
8384	25876	4764	105
1948	4792	25878	8380
4792	1942	8384	25878
25878	8384	105	4763
8380	25878	4763	98
1953	4795	26013	8147
4795	1941	8135	26013
26013	8135	1929	8120
8147	26013	8120	1928
1187	4741	26016	8141
4741	1185	8136	26016
26016	8136	1942	4792
8141	26016	4792	1948
1185	4740	26027	8136
4740	1183	8134	26027
26027	8134	1940	4793
8136	26027	4793	1942
1940	8134	26028	4794
8134	1183	8121	26028
26028	8121	1929	8135
4794	26028	8135	1941
1181	8119	26039	4739
8119	1928	8120	26039
26039	8120	1929	8121
4739	26039	8121	1183
1185	4741	26670	7099
4741	1187	7101	26670
26670	7101	1188	7102
7099	26670	7102	1186
1183	4740	26671	7097
4740	1185	7099	26671
26671	7099	1186	7100
7097	26671	7100	1184
1181	4739	26672	7095
4739	1183	7097	26672
26672	7097	1184	7098
7095	26672	7098	1182
1178	4738	26673	7093
4738	1181	7095	26673
26673	7095	1182	7096
7093	26673	7096	1180
120	5391	27609	5381
5391	127	5392	27609
27609	5392	128	5393
5381	27609	5393	121
119	4766	27610	5379
4766	126	5390	27610
27610	5390	127	5391
5379	27610	5391	120
113	5380	27615	5370
5380	120	5381	27615
27615	5381	121	5382
5370	27615	5382	114
112	4765	27616	5368
4765	119	5379	27616
27616	5379	120	5380
5368	27616	5380	113
106	5369	27621	5359
5369	113	5370	27621
27621	5370	114	5371
5359	27621	5371	107
105	4764	27622	5357
4764	112	5368	27622
27622	5368	113	5369
5357	27622	5369	106
99	5358	27627	5348
5358	106	5359	27627
27627	5359	107	5360
5348	27627	5360	100
98	4763	27628	5346
4763	105	5357	27628
27628	5357	106	5358
5346	27628	5358	99
