1755	4807	26047	8103
4807	1765	8114	26047
26047	8114	1336	4970
8103	26047	4970	1334
1779	4810	26050	8112
4810	1762	8105	26050
26050	8105	1330	4967
8112	26050	4967	1328
1762	4809	26058	8105
4809	1756	8104	26058
26058	8104	1332	4968
8105	26058	4968	1330
1756	4808	26059	8104
4808	1755	8103	26059
26059	8103	1334	4969
8104	26059	4969	1332
1595	4943	26198	7891
4943	1588	7899	26198
26198	7899	1765	4807
7891	26198	4807	1755
1606	5188	26200	7897
5188	1604	7893	26200
26200	7893	1758	7896
7897	26200	7896	1761
1758	7888	26201	7896
7888	1756	4809	26201
26201	4809	1762	7895
7896	26201	7895	1761
1758	7893	26203	7889
7893	1604	5187	26203
26203	5187	1602	7892
7889	26203	7892	1757
1602	5186	26204	7892
5186	1595	7891	26204
26204	7891	1755	7890
7892	26204	7890	1757
1755	4808	26205	7890
4808	1756	7888	26205
26205	7888	1758	7889
7890	26205	7889	1757
1604	5188	26319	7698
5188	1606	7700	26319
26319	7700	1607	7701
7698	26319	7701	1605
1602	5187	26320	7696
5187	1604	7698	26320
26320	7698	1605	7699
7696	26320	7699	1603
1595	5186	26321	5195
5186	1602	7696	26321
26321	7696	1603	7697
5195	26321	7697	1596
1588	4943	26327	7680
4943	1595	5195	26327
26327	5195	1596	7691
7680	26327	7691	1589
1785	4803	26040	8116
4803	1789	8096	26040
26040	8096	1344	4974
8116	26040	4974	1342
1771	4804	26045	8115
4804	1785	8116	26045
26045	8116	1342	4973
8115	26045	4973	1340
1768	4805	26046	8113
4805	1771	8115	26046
26046	8115	1340	4972
8113	26046	4972	1338
1765	4806	26048	8114
4806	1768	8113	26048
26048	8113	1338	4971
8114	26048	4971	1336
1567	4939	26176	7919
4939	1560	7924	26176
26176	7924	1789	4803
7919	26176	4803	1785
1574	4940	26183	7905
4940	1567	7919	26183
26183	7919	1785	4804
7905	26183	4804	1771
1581	4941	26193	7903
4941	1574	7905	26193
26193	7905	1771	4805
7903	26193	4805	1768
1588	4942	26195	7899
4942	1581	7903	26195
26195	7903	1768	4806
7899	26195	4806	1765
1582	7681	26332	7671
7681	1589	7682	26332
26332	7682	1590	7683
7671	26332	7683	1583
1581	4942	26333	7669
4942	1588	7680	26333
26333	7680	1589	7681
7669	26333	7681	1582
1575	7670	26338	7660
7670	1582	7671	26338
26338	7671	1583	7672
7660	26338	7672	1576
1574	4941	26339	7658
4941	1581	7669	26339
26339	7669	1582	7670
7658	26339	7670	1575
1568	7659	26344	7649
7659	1575	7660	26344
26344	7660	1576	7661
7649	26344	7661	1569
1567	4940	26345	7647
4940	1574	7658	26345
26345	7658	1575	7659
7647	26345	7659	1568
1561	7648	26350	7638
7648	1568	7649	26350
26350	7649	1569	7650
7638	26350	7650	1562
1560	4939	26351	7636
4939	1567	7647	26351
26351	7647	1568	7648
7636	26351	7648	1561
1342	4974	26543	7328
4974	1344	7330	26543
26543	7330	1345	7331
7328	26543	7331	1343
1340	4973	26544	7326
4973	1342	7328	26544
26544	7328	1343	7329
7326	26544	7329	1341
1338	4972	26545	7324
4972	1340	7326	26545
26545	7326	1341	7327
7324	26545	7327	1339
1336	4971	26546	7322
4971	1338	7324	26546
26546	7324	1339	7325
7322	26546	7325	1337
