39776	39778	39777	39775
39779	39780	39778	39776
39781	39782	39780	39779
39783	39784	39782	39781
39785	39786	39784	39783
39787	39788	39786	39785
39789	39790	39788	39787
39791	39792	39790	39789
39778	39798	39797	39777
39780	39799	39798	39778
39782	39800	39799	39780
39784	39801	39800	39782
39786	39802	39801	39784
39788	39803	39802	39786
39790	39804	39803	39788
39792	39805	39804	39790
39798	39809	39808	39797
39799	39810	39809	39798
39800	39811	39810	39799
39801	39812	39811	39800
39802	39813	39812	39801
39803	39814	39813	39802
39804	39815	39814	39803
39805	39816	39815	39804
39809	39820	39819	39808
39810	39821	39820	39809
39811	39822	39821	39810
39812	39823	39822	39811
39813	39824	39823	39812
39814	39825	39824	39813
39815	39826	39825	39814
39816	39827	39826	39815
39820	39831	39830	39819
39821	39832	39831	39820
39822	39833	39832	39821
39823	39834	39833	39822
39824	39835	39834	39823
39825	39836	39835	39824
39826	39837	39836	39825
39827	39838	39837	39826
39831	39842	39841	39830
39832	39843	39842	39831
39833	39844	39843	39832
39834	39845	39844	39833
39835	39846	39845	39834
39836	39847	39846	39835
39837	39848	39847	39836
39838	39849	39848	39837
39842	39853	39852	39841
39843	39854	39853	39842
39844	39855	39854	39843
39845	39856	39855	39844
39846	39857	39856	39845
39847	39858	39857	39846
39848	39859	39858	39847
39849	39860	39859	39848
39853	39864	39863	39852
39854	39865	39864	39853
39855	39866	39865	39854
39856	39867	39866	39855
39857	39868	39867	39856
39858	39869	39868	39857
39859	39870	39869	39858
39860	39871	39870	39859
39864	39875	39874	39863
39865	39876	39875	39864
39866	39877	39876	39865
39867	39878	39877	39866
39868	39879	39878	39867
39869	39880	39879	39868
39870	39881	39880	39869
39871	39882	39881	39870
39875	39886	39885	39874
39876	39887	39886	39875
39877	39888	39887	39876
39878	39889	39888	39877
39879	39890	39889	39878
39880	39891	39890	39879
39881	39892	39891	39880
39882	39893	39892	39881
39886	39897	39896	39885
39887	39898	39897	39886
39888	39899	39898	39887
39889	39900	39899	39888
39890	39901	39900	39889
39891	39902	39901	39890
39892	39903	39902	39891
39893	39904	39903	39892
40211	40223	40222	40210
40212	40224	40223	40211
40213	40225	40224	40212
40214	40226	40225	40213
40215	40227	40226	40214
40216	40228	40227	40215
40217	40229	40228	40216
40218	40230	40229	40217
40219	40231	40230	40218
40223	40235	40234	40222
40224	40236	40235	40223
40225	40237	40236	40224
40226	40238	40237	40225
40227	40239	40238	40226
40228	40240	40239	40227
40229	40241	40240	40228
40230	40242	40241	40229
40235	40247	40246	40234
40236	40248	40247	40235
40237	40249	40248	40236
40238	40250	40249	40237
40239	40251	40250	40238
40240	40252	40251	40239
40241	40253	40252	40240
40242	40254	40253	40241
40247	40259	40258	40246
40248	40260	40259	40247
40249	40261	40260	40248
40250	40262	40261	40249
40251	40263	40262	40250
40252	40264	40263	40251
40253	40265	40264	40252
40254	40266	40265	40253
40259	40271	40270	40258
40260	40272	40271	40259
40261	40273	40272	40260
40262	40274	40273	40261
40263	40275	40274	40262
40264	40276	40275	40263
40265	40277	40276	40264
40266	40278	40277	40265
40271	39776	39775	40270
40272	39779	39776	40271
40273	39781	39779	40272
40274	39783	39781	40273
40275	39785	39783	40274
40276	39787	39785	40275
40277	39789	39787	40276
40278	39791	39789	40277
40246	40258	45360	45359
40234	40246	45359	45361
45359	45360	45362	45361
40222	40234	45361	45363
40210	40222	45363	45364
45360	45366	45365	45362
45366	45368	45367	45365
40270	39775	45368	45366
40258	40270	45366	45360
40198	40210	45364	45369
39885	39896	45356	45397
45397	45356	45355	45398
39874	39885	45397	45409
45409	45397	45398	45410
39863	39874	45409	45430
45430	45409	45410	45431
45368	45444	45443	45367
45444	45446	45445	45443
39852	39863	45430	45451
45451	45430	45431	45452
39777	39797	45446	45444
39775	39777	45444	45368
39841	39852	45451	45483
45483	45451	45452	45484
39830	39841	45483	45485
45485	45483	45484	45486
39819	39830	45485	45491
45491	45485	45486	45492
39808	39819	45491	45494
45494	45491	45492	45495
39797	39808	45494	45446
45446	45494	45495	45445
45503	45504	45506	45505
45508	45503	45505	45507
45510	45512	45511	45509
45509	45511	33943	33944
45513	45514	45516	45515
45517	45513	45515	45508
45515	45516	45503	45508
45520	45518	45519	45521
45452	45431	45518	45520
45516	45522	45504	45503
45514	45523	45522	45516
45524	45521	45526	45525
45528	45524	45525	45527
45530	45529	45528	45531
45492	45486	45529	45530
45506	45532	33948	33949
45532	45533	33947	33948
45486	45484	45534	45529
45529	45534	45524	45528
45525	45526	45536	45535
45535	45536	33945	33946
45512	45538	45537	45511
45511	45537	33942	33943
45443	45445	45514	45513
45367	45443	45513	45517
45507	45505	33950	33951
45505	45506	33949	33950
45534	45520	45521	45524
45484	45452	45520	45534
45526	45510	45509	45536
45536	45509	33944	33945
45539	45540	45538	45512
45523	45530	45531	45522
45495	45492	45530	45523
45445	45495	45523	45514
45518	45541	45539	45519
45431	45410	45541	45518
45527	45525	45535	45533
45533	45535	33946	33947
45543	45545	45544	45542
45542	45544	33954	33955
45504	45546	45532	45506
45522	45531	45546	45504
45521	45519	45510	45526
45519	45539	45512	45510
45546	45527	45533	45532
45531	45528	45527	45546
45538	45548	45547	45537
45537	45547	33941	33942
45554	45508	45507	45553
45553	45507	33951	33952
45410	45398	45555	45541
45541	45555	45540	45539
45365	45367	45517	45558
45558	45517	45508	45554
45540	45551	45548	45538
45564	45554	45553	45563
45563	45553	33952	33953
45398	45355	45556	45555
45555	45556	45551	45540
45362	45365	45558	45571
45571	45558	45554	45564
45545	45564	45563	45544
45544	45563	33953	33954
45577	45543	45542	45576
45576	45542	33955	33956
45361	45362	45571	45578
45578	45571	45564	45545
45586	45577	45576	45585
45585	45576	33956	33957
45363	45361	45578	45587
45587	45578	45545	45543
45364	45363	45587	45588
45588	45587	45543	45577
45369	45364	45588	45589
45589	45588	45577	45586
