38095	38101	38100	38094
38096	38102	38101	38095
38097	38103	38102	38096
38098	38104	38103	38097
38099	38105	38104	38098
38101	38107	38106	38100
38102	38108	38107	38101
38103	38109	38108	38102
38104	38110	38109	38103
38105	38111	38110	38104
38107	38113	38112	38106
38108	38114	38113	38107
38109	38115	38114	38108
38110	38116	38115	38109
38111	38117	38116	38110
38113	38119	38118	38112
38114	38120	38119	38113
38115	38121	38120	38114
38116	38122	38121	38115
38117	38123	38122	38116
38119	38125	38124	38118
38120	38126	38125	38119
38121	38127	38126	38120
38122	38128	38127	38121
38123	38129	38128	38122
32395	32396	38129	38123
38125	38131	38130	38124
38126	38132	38131	38125
38127	38133	38132	38126
38128	38134	38133	38127
38129	38135	38134	38128
32396	32397	38135	38129
38131	38137	38136	38130
38132	38138	38137	38131
38133	38139	38138	38132
38134	38140	38139	38133
38135	38141	38140	38134
32397	32398	38141	38135
38137	38143	38142	38136
38138	38144	38143	38137
38139	38145	38144	38138
38140	38146	38145	38139
38141	38147	38146	38140
32398	32399	38147	38141
38143	38149	38148	38142
38144	38150	38149	38143
38145	38151	38150	38144
38146	38152	38151	38145
38147	38153	38152	38146
32399	32400	38153	38147
38149	38155	38154	38148
38150	38156	38155	38149
38151	38157	38156	38150
38152	38158	38157	38151
38153	38159	38158	38152
32400	32401	38159	38153
38155	38161	38160	38154
38156	38162	38161	38155
38157	38163	38162	38156
38158	38164	38163	38157
38159	38165	38164	38158
32401	32402	38165	38159
38161	38167	38166	38160
38162	38168	38167	38161
38163	38169	38168	38162
38164	38170	38169	38163
38165	38171	38170	38164
32402	32403	38171	38165
38167	38173	38172	38166
38168	38174	38173	38167
38169	38175	38174	38168
38170	38176	38175	38169
38171	38177	38176	38170
32403	32404	38177	38171
38173	38179	38178	38172
38174	38180	38179	38173
38175	38181	38180	38174
38176	38182	38181	38175
38177	38183	38182	38176
32404	32405	38183	38177
38179	38185	38184	38178
38180	38186	38185	38179
38181	38187	38186	38180
38182	38188	38187	38181
38183	38189	38188	38182
32405	32406	38189	38183
38185	38191	38190	38184
38186	38192	38191	38185
38187	38193	38192	38186
38188	38194	38193	38187
38189	38195	38194	38188
32406	32407	38195	38189
41901	41891	41892	41902
41902	41892	41893	41903
41903	41893	41894	41904
41904	41894	41895	41905
41905	41895	41896	41906
41906	41896	41897	41907
41907	41897	41898	41908
41908	41898	41899	41909
41909	41899	41900	41910
41911	41901	41902	41912
41912	41902	41903	41913
41913	41903	41904	41914
41914	41904	41905	41915
41915	41905	41906	41916
41916	41906	41907	41917
41917	41907	41908	41918
41918	41908	41909	41919
41919	41909	41910	41920
41921	41911	41912	41922
41922	41912	41913	41923
41923	41913	41914	41924
41924	41914	41915	41925
41925	41915	41916	41926
41926	41916	41917	41927
41927	41917	41918	41928
41928	41918	41919	41929
41929	41919	41920	41930
41931	41921	41922	41932
41932	41922	41923	41933
41933	41923	41924	41934
41934	41924	41925	41935
41935	41925	41926	41936
41936	41926	41927	41937
41937	41927	41928	41938
41938	41928	41929	41939
41939	41929	41930	41940
41941	41931	41932	41942
41942	41932	41933	41943
41943	41933	41934	41944
41944	41934	41935	41945
41945	41935	41936	41946
41946	41936	41937	41947
41947	41937	41938	41948
41948	41938	41939	41949
41949	41939	41940	41950
41951	41941	41942	41952
41952	41942	41943	41953
41953	41943	41944	41954
41954	41944	41945	41955
41955	41945	41946	41956
41956	41946	41947	41957
41957	41947	41948	41958
41958	41948	41949	41959
41959	41949	41950	41960
41961	41951	41952	41962
41962	41952	41953	41963
41963	41953	41954	41964
41964	41954	41955	41965
41965	41955	41956	41966
41966	41956	41957	41967
41967	41957	41958	41968
41968	41958	41959	41969
41969	41959	41960	41970
41971	41961	41962	41972
41972	41962	41963	41973
41973	41963	41964	41974
41974	41964	41965	41975
41975	41965	41966	41976
41976	41966	41967	41977
41977	41967	41968	41978
41978	41968	41969	41979
41979	41969	41970	41980
41981	41971	41972	41982
41982	41972	41973	41983
41983	41973	41974	41984
41984	41974	41975	41985
41985	41975	41976	41986
41986	41976	41977	41987
41987	41977	41978	41988
41988	41978	41979	41989
41989	41979	41980	41990
41991	41981	41982	41992
41992	41982	41983	41993
41993	41983	41984	41994
41994	41984	41985	41995
41995	41985	41986	41996
41996	41986	41987	41997
41997	41987	41988	41998
41998	41988	41989	41999
41999	41989	41990	42000
42001	41991	41992	42002
42002	41992	41993	42003
42003	41993	41994	42004
42004	41994	41995	42005
42005	41995	41996	42006
42006	41996	41997	42007
42007	41997	41998	42008
42008	41998	41999	42009
42009	41999	42000	42010
42011	42001	42002	42012
42012	42002	42003	42013
42013	42003	42004	42014
42014	42004	42005	42015
42015	42005	42006	42016
42016	42006	42007	42017
42017	42007	42008	42018
42018	42008	42009	42019
42019	42009	42010	42020
42021	42011	42012	42022
42022	42012	42013	42023
42023	42013	42014	42024
42024	42014	42015	42025
42025	42015	42016	42026
42026	42016	42017	42027
42027	42017	42018	42028
42028	42018	42019	42029
42029	42019	42020	42030
42031	42021	42022	42032
42032	42022	42023	42033
42033	42023	42024	42034
42034	42024	42025	42035
42035	42025	42026	42036
42036	42026	42027	42037
42037	42027	42028	42038
42038	42028	42029	42039
42039	42029	42030	42040
42041	42031	42032	42042
42042	42032	42033	42043
42043	42033	42034	42044
42044	42034	42035	42045
42045	42035	42036	42046
42046	42036	42037	42047
42047	42037	42038	42048
42048	42038	42039	42049
42049	42039	42040	42050
42051	42041	42042	42052
42052	42042	42043	42053
42053	42043	42044	42054
42054	42044	42045	42055
42055	42045	42046	42056
42056	42046	42047	42057
42057	42047	42048	42058
42058	42048	42049	42059
42059	42049	42050	42060
42064	42054	42055	42065
42065	42055	42056	42066
42066	42056	42057	42067
42067	42057	42058	42068
42068	42058	42059	42069
41910	41900	42327	42328
41920	41910	42328	42329
