12413	12423	12424	12414
12423	12433	12434	12424
12433	12443	12444	12434
12443	12453	12454	12444
12453	12463	12464	12454
12463	12473	12474	12464
12473	12483	12484	12474
12483	12493	12494	12484
12493	12272	12273	12494
12414	12424	12425	12415
12424	12434	12435	12425
12434	12444	12445	12435
12444	12454	12455	12445
12454	12464	12465	12455
12464	12474	12475	12465
12474	12484	12485	12475
12484	12494	12495	12485
12494	12273	12274	12495
12415	12425	12426	12416
12425	12435	12436	12426
12435	12445	12446	12436
12445	12455	12456	12446
12455	12465	12466	12456
12465	12475	12476	12466
12475	12485	12486	12476
12485	12495	12496	12486
12495	12274	12275	12496
12416	12426	12427	12417
12426	12436	12437	12427
12436	12446	12447	12437
12446	12456	12457	12447
12456	12466	12467	12457
12466	12476	12477	12467
12476	12486	12487	12477
12486	12496	12497	12487
12496	12275	12276	12497
12417	12427	12428	12418
12427	12437	12438	12428
12437	12447	12448	12438
12447	12457	12458	12448
12457	12467	12468	12458
12467	12477	12478	12468
12477	12487	12488	12478
12487	12497	12498	12488
12497	12276	12277	12498
12418	12428	12429	12419
12428	12438	12439	12429
12438	12448	12449	12439
12448	12458	12459	12449
12458	12468	12469	12459
12468	12478	12479	12469
12478	12488	12489	12479
12488	12498	12499	12489
12498	12277	12278	12499
12419	12429	12430	12420
12429	12439	12440	12430
12439	12449	12450	12440
12449	12459	12460	12450
12459	12469	12470	12460
12469	12479	12480	12470
12479	12489	12490	12480
12489	12499	12500	12490
12499	12278	12279	12500
12420	12430	12431	12421
12430	12440	12441	12431
12440	12450	12451	12441
12450	12460	12461	12451
12460	12470	12471	12461
12470	12480	12481	12471
12480	12490	12491	12481
12490	12500	12501	12491
12500	12279	12280	12501
12421	12431	12432	12422
12431	12441	12442	12432
12441	12451	12452	12442
12451	12461	12462	12452
12461	12471	12472	12462
12471	12481	12482	12472
12481	12491	12492	12482
12491	12501	12502	12492
12501	12280	12282	12502
12422	12432	12529	12528
12432	12442	12530	12529
12442	12452	12531	12530
12452	12462	12532	12531
12462	12472	12533	12532
12472	12482	12534	12533
12482	12492	12535	12534
12492	12502	12536	12535
12502	12282	12281	12536
12545	12544	12423	12413
12544	12543	12433	12423
12543	12542	12443	12433
12542	12541	12453	12443
12541	12540	12463	12453
12540	12539	12473	12463
12539	12538	12483	12473
12538	12537	12493	12483
12537	12271	12272	12493
