131783	131784	27441	27385
131787	131783	27385	27329
131924	131925	131923	131784
131929	131924	131784	131783
131931	131925	131924	131929
132069	132068	132067	131925
131925	132067	132073	131923
131784	131923	27497	27441
132205	131929	131783	131787
132207	131931	131929	132205
132209	132069	131925	131931
131923	132073	27553	27497
132317	132209	131931	132207
133278	133277	132069	132209
133277	133281	132068	132069
133627	133278	132209	132317
134866	134864	134863	134865
134865	134863	26993	26937
135250	132317	132207	135249
135249	132207	132205	135253
135256	135255	134864	134866
135629	135631	135632	135630
135637	135638	135631	135629
135644	135642	135641	135643
135643	135641	135255	135256
135993	135995	135996	135994
136001	135630	135995	135993
136004	136003	135638	135637
136003	136007	136008	135638
136011	135253	136012	136013
135253	132205	131787	136012
134428	136018	136017	134427
134427	136017	26825	26769
133281	136368	136367	132068
132068	136367	136371	132067
135638	136008	136373	135631
136008	135250	135249	136373
135631	136373	135249	135632
136007	136375	135250	136008
136375	133627	132317	135250
135995	136011	136013	135996
136018	136378	136377	136017
136017	136377	26881	26825
136021	136381	136018	134428
132067	136371	136701	132073
136704	136703	136004	136705
136703	136709	136003	136004
135632	135249	135253	136011
135630	135632	136011	135995
136381	136719	136378	136018
136383	136721	136381	136021
137102	137101	133281	133277
137101	137105	136368	133281
132073	136701	27609	27553
136709	137107	136007	136003
137109	135637	135629	137110
136705	136004	135637	137109
136012	131787	27329	27273
136013	136012	27273	27217
137114	137113	135642	135644
136378	134866	134865	136377
136377	134865	26937	26881
136721	137117	136719	136381
136723	137119	136721	136383
137105	137508	137507	136368
136368	137507	137511	136367
137513	137102	133277	133278
137516	137515	136703	136704
137515	137519	136709	136703
137107	137521	136375	136007
137110	135629	135630	136001
135996	136013	27217	27161
136719	135256	134866	136378
137119	137539	137117	136721
137121	137541	137119	136723
137511	137916	137915	137917
137917	137915	137921	137922
136367	137511	137917	136371
137925	137513	133278	133627
137928	137927	137521	137107
137927	137931	137925	137521
137521	137925	133627	136375
135994	135996	27161	27105
137943	137944	137942	137941
137949	137943	137941	137950
137117	135643	135256	136719
137541	137953	137539	137119
138286	138285	138287	137931
138285	138291	138292	138287
138296	138295	137105	137101
138295	138299	137508	137105
136371	137917	137922	136701
138302	138301	137515	137516
138301	138305	137519	137515
137519	137928	137107	136709
65462	65466	138317	138313
65466	65470	138319	138317
138291	138679	138296	138292
137922	137921	27721	27665
138292	138296	137101	137102
136701	137922	27665	27609
138682	138681	137927	137928
138681	138286	137931	137927
134864	138686	138685	134863
134863	138685	27049	26993
138690	138689	137113	137114
137941	137942	138702	138701
137950	137941	138701	138705
138317	138319	137944	137943
138313	138317	137943	137949
137539	135644	135643	137117
138299	139009	139016	137508
137508	139016	139019	137507
137931	138287	137513	137925
138287	138292	137102	137513
138305	138682	137928	137519
135255	139021	138686	134864
139024	139023	138689	138690
138701	138702	137953	137541
138705	138701	137541	137121
137953	137114	135644	137539
139306	139305	138679	138291
139305	139309	139310	138679
139310	139313	138299	138295
139313	139010	139009	138299
137507	139019	137916	137511
135642	139316	139315	135641
135641	139315	139021	135255
137942	139024	138690	138702
138702	138690	137114	137953
65518	65522	139309	139305
65522	65526	139579	139309
139582	139581	138285	138286
139581	139306	138291	138285
138679	139310	138295	138296
138686	135993	135994	138685
138685	135994	27105	27049
137113	139587	139316	135642
137944	139589	139024	137942
139309	139579	139313	139310
139315	137110	136001	139021
139021	136001	135993	138686
138689	139805	139587	137113
139589	139807	139023	139024
65470	65474	139809	138319
138319	139809	139589	137944
65510	65514	139306	139581
65514	65518	139305	139306
65526	65530	139911	139579
139579	139911	139010	139313
65498	65502	139915	139916
65502	65506	139582	139915
139587	136705	137109	139316
139316	137109	137110	139315
139023	139919	139805	138689
139809	139921	139807	139589
65506	65510	139581	139582
139916	139915	138681	138682
139915	139582	138286	138681
139919	137516	136704	139805
139805	136704	136705	139587
139807	140011	139919	139023
65474	65478	139921	139809
65494	65498	139916	140061
140061	139916	138682	138305
65482	65486	140063	140064
140064	140063	138302	140011
65478	65482	140064	139921
139921	140064	140011	139807
140063	140079	138301	138302
140079	140061	138305	138301
140011	138302	137516	139919
65486	65490	140079	140063
65490	65494	140061	140079
